name,position,team,price_eur,max_price,min_price,status,playerId,remote_player,teamId,remote_team,url,lastMarket_1d,lastMarket_3d,lastMarket_7d,injured,doubt
Toljan,defensa,Levante,1050000,1390000,780000,Disponible,156177,38143,21,10,toljan,0,0,20000,0,0
Álvaro Carreras,defensa,Real Madrid,1050000,1810000,1050000,Disponible,153459,31707,2,15,alvaro-carreras,-10000,-30000,-70000,0,0
Matteo Prati,mediocentro,Racing,1040000,1260000,1040000,Disponible,158234,42814,878,812,matteo-prati,-10000,-30000,-50000,0,0
Gorrotxategi,mediocentro,Real Sociedad,1030000,1790000,1030000,Disponible,156063,37897,16,13,gorrotxategi,0,0,0,0,0
David Mella,delantero,Deportivo,1020000,1540000,1020000,Disponible,157798,41077,8,6,david-mella,-30000,-60000,-100000,0,0
Abdelkarim,delantero,Barcelona,1010000,1350000,320000,Disponible,158210,42747,5,3,abdelkarim,-20000,-30000,-80000,0,0
Diakhaby,defensa,Valencia,1010000,1060000,400000,lesión en el abductor,4579,15464,19,18,diakhaby,-30000,-50000,-50000,1,0
Sánchez Flores,entrenador,Alavés,1010000,1010000,380000,Disponible,153525,25020,3,91,sanchez-flores,10000,40000,80000,0,0
Abqar,defensa,Getafe,1000000,1550000,350000,Molestias musculares,153084,30505,23,8,abqar,-10000,-50000,-120000,0,1
Calero,defensa,Málaga,1000000,2040000,860000,"fracturas costales en las costillas 9, 10 y 11 izquierdas",4584,11045,14,65,calero,-10000,-30000,-70000,0,1
Sergi Cardona,defensa,Villarreal,1000000,1960000,1000000,Disponible,153076,30493,20,19,sergi-cardona,-10000,-40000,-80000,0,0
Oriol Rey,mediocentro,Levante,990000,990000,200000,Disponible,155919,37726,21,10,oriol-rey,30000,100000,220000,0,0
Balliu,defensa,Rayo Vallecano,970000,1280000,210000,Disponible,151230,21063,106,70,balliu,-10000,-30000,-60000,0,0
Francho Serrano,mediocentro,Getafe,940000,1030000,800000,Disponible,158209,42726,23,8,francho-serrano,-10000,-30000,-60000,0,0
Luis García,entrenador,Sevilla,940000,940000,280000,Disponible,153258,21854,17,17,luis-garcia,0,0,0,0,0
Nacho Pérez,defensa,Levante,940000,940000,150000,Disponible,157603,25815,21,10,nacho-perez,10000,30000,80000,0,0
Jesús Vázquez,defensa,Valencia,900000,1020000,240000,Disponible,151424,24734,19,18,jesus-vazquez,-10000,-30000,-60000,0,0
Iker Luque,delantero,Racing,880000,980000,880000,Disponible,158256,40552,878,812,iker-luque,-20000,-80000,-100000,0,0
Kike Barja,mediocentro,Osasuna,870000,870000,310000,Disponible,6183,18256,15,93,kike-barja,20000,90000,220000,0,0
Manolo González,entrenador,Espanyol,870000,930000,580000,Disponible,154262,33789,10,7,manolo-gonzalez,-10000,-20000,-40000,0,0
Pol Lozano,mediocentro,Espanyol,870000,1150000,650000,Disponible,6012,17148,10,7,pol-lozano,-10000,-30000,-70000,0,0
Julio Díaz,defensa,Sevilla,850000,1570000,160000,Disponible,156566,39673,17,17,julio-diaz,-10000,-30000,-40000,0,0
Mendoza,mediocentro,Atlético,850000,970000,590000,Disponible,155924,37724,4,2,mendoza,-40000,-70000,-100000,0,0
Yanis Musuayi,delantero,Levante,850000,1710000,230000,Disponible,156004,37863,21,10,yanis-musuayi,-10000,-30000,-70000,0,0
Akhomach,delantero,Villarreal,840000,1170000,780000,Disponible,151452,25159,20,19,akhomach,-20000,-40000,-50000,0,0
Aliou Dieng,mediocentro,Valencia,820000,1630000,820000,molestias musculares,158044,42396,19,18,aliou-dieng,0,-20000,-40000,0,0
